script,iteration,mode,nav_steps,nav_ratio,fix_type,fix_score
test.py,1,baseline,37,0.45121951219512196,PARTIAL_FIX,0.5
test.py,1,explain,25,0.45121951219512196,PARTIAL_FIX,0.5
test.py,1,diff,18,0.45121951219512196,PARTIAL_FIX,0.5
test.py,1,both,14,0.45121951219512196,PARTIAL_FIX,0.5
test1.py,1,baseline,25,0.32051282051282054,PARTIAL_FIX,0.5
test1.py,1,explain,17,0.32051282051282054,PARTIAL_FIX,0.5
test1.py,1,diff,12,0.32051282051282054,PARTIAL_FIX,0.5
test1.py,1,both,10,0.32051282051282054,PARTIAL_FIX,0.5
test2.py,1,baseline,143,0.19751381215469613,GOOD_FIX,1.0
test2.py,1,explain,100,0.19751381215469613,GOOD_FIX,1.0
test2.py,1,diff,71,0.19751381215469613,GOOD_FIX,1.0
test2.py,1,both,57,0.19751381215469613,GOOD_FIX,1.0
test3.py,1,baseline,0,0.0,GOOD_FIX,1.0
test3.py,1,explain,0,0.0,GOOD_FIX,1.0
test3.py,1,diff,0,0.0,GOOD_FIX,1.0
test3.py,1,both,0,0.0,GOOD_FIX,1.0
test4.py,1,baseline,4,0.01509433962264151,GOOD_FIX,1.0
test4.py,1,explain,2,0.01509433962264151,GOOD_FIX,1.0
test4.py,1,diff,2,0.01509433962264151,GOOD_FIX,1.0
test4.py,1,both,1,0.01509433962264151,GOOD_FIX,1.0
test5.py,1,baseline,4,0.02631578947368421,GOOD_FIX,1.0
test5.py,1,explain,2,0.02631578947368421,GOOD_FIX,1.0
test5.py,1,diff,2,0.02631578947368421,GOOD_FIX,1.0
test5.py,1,both,1,0.02631578947368421,GOOD_FIX,1.0
test6.py,1,baseline,4,0.00819672131147541,GOOD_FIX,1.0
test6.py,1,explain,2,0.00819672131147541,GOOD_FIX,1.0
test6.py,1,diff,2,0.00819672131147541,GOOD_FIX,1.0
test6.py,1,both,1,0.00819672131147541,GOOD_FIX,1.0
test7.py,1,baseline,43,0.296551724137931,GOOD_FIX,1.0
test7.py,1,explain,30,0.296551724137931,GOOD_FIX,1.0
test7.py,1,diff,21,0.296551724137931,GOOD_FIX,1.0
test7.py,1,both,17,0.296551724137931,GOOD_FIX,1.0
test8.py,1,baseline,18,0.14754098360655737,GOOD_FIX,1.0
test8.py,1,explain,12,0.14754098360655737,GOOD_FIX,1.0
test8.py,1,diff,9,0.14754098360655737,GOOD_FIX,1.0
test8.py,1,both,7,0.14754098360655737,GOOD_FIX,1.0
test9.py,1,baseline,11,0.028795811518324606,GOOD_FIX,1.0
test9.py,1,explain,7,0.028795811518324606,GOOD_FIX,1.0
test9.py,1,diff,5,0.028795811518324606,GOOD_FIX,1.0
test9.py,1,both,4,0.028795811518324606,GOOD_FIX,1.0
test10.py,1,baseline,2,0.015037593984962405,GOOD_FIX,1.0
test10.py,1,explain,1,0.015037593984962405,GOOD_FIX,1.0
test10.py,1,diff,1,0.015037593984962405,GOOD_FIX,1.0
test10.py,1,both,0,0.015037593984962405,GOOD_FIX,1.0
test11.py,1,baseline,26,0.03969465648854962,GOOD_FIX,1.0
test11.py,1,explain,18,0.03969465648854962,GOOD_FIX,1.0
test11.py,1,diff,13,0.03969465648854962,GOOD_FIX,1.0
test11.py,1,both,10,0.03969465648854962,GOOD_FIX,1.0
test12.py,1,baseline,3,0.011538461538461539,GOOD_FIX,1.0
test12.py,1,explain,2,0.011538461538461539,GOOD_FIX,1.0
test12.py,1,diff,1,0.011538461538461539,GOOD_FIX,1.0
test12.py,1,both,1,0.011538461538461539,GOOD_FIX,1.0
test13.py,1,baseline,3,0.02830188679245283,GOOD_FIX,1.0
test13.py,1,explain,2,0.02830188679245283,GOOD_FIX,1.0
test13.py,1,diff,1,0.02830188679245283,GOOD_FIX,1.0
test13.py,1,both,1,0.02830188679245283,GOOD_FIX,1.0
test14.py,1,baseline,179,0.4398034398034398,PARTIAL_FIX,0.5
test14.py,1,explain,125,0.4398034398034398,PARTIAL_FIX,0.5
test14.py,1,diff,89,0.4398034398034398,PARTIAL_FIX,0.5
test14.py,1,both,71,0.4398034398034398,PARTIAL_FIX,0.5
test15.py,1,baseline,0,0.0,GOOD_FIX,1.0
test15.py,1,explain,0,0.0,GOOD_FIX,1.0
test15.py,1,diff,0,0.0,GOOD_FIX,1.0
test15.py,1,both,0,0.0,GOOD_FIX,1.0
test16.py,1,baseline,55,0.39855072463768115,PARTIAL_FIX,0.5
test16.py,1,explain,38,0.39855072463768115,PARTIAL_FIX,0.5
test16.py,1,diff,27,0.39855072463768115,PARTIAL_FIX,0.5
test16.py,1,both,22,0.39855072463768115,PARTIAL_FIX,0.5
test17.py,1,baseline,22,0.3188405797101449,PARTIAL_FIX,0.5
test17.py,1,explain,15,0.3188405797101449,PARTIAL_FIX,0.5
test17.py,1,diff,11,0.3188405797101449,PARTIAL_FIX,0.5
test17.py,1,both,8,0.3188405797101449,PARTIAL_FIX,0.5
test18.py,1,baseline,13,0.036211699164345405,GOOD_FIX,1.0
test18.py,1,explain,9,0.036211699164345405,GOOD_FIX,1.0
test18.py,1,diff,6,0.036211699164345405,GOOD_FIX,1.0
test18.py,1,both,5,0.036211699164345405,GOOD_FIX,1.0
test19.py,1,baseline,16,0.052980132450331126,GOOD_FIX,1.0
test19.py,1,explain,11,0.052980132450331126,GOOD_FIX,1.0
test19.py,1,diff,8,0.052980132450331126,GOOD_FIX,1.0
test19.py,1,both,6,0.052980132450331126,GOOD_FIX,1.0
